Timestamp,Pack Voltage(V),Pack Current(A),SOC(%),MOSFET Temp(C),Highest Cell Voltage(V),Highest Cell Number,Lowest Cell Voltage(V),Lowest Cell Number,Highest Temperature(C),Highest Temp Sensor,Lowest Temperature(C),Lowest Temp Sensor,Balancing Cells,Errors
2026-05-19 02:46:45,21.9,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:46:51,22.0,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:46:56,22.0,0.2,49.6,,3.67,2,3.662,4,36,2,34,1,error,
2026-05-19 02:47:02,21.9,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:47:45,22.0,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:47:51,21.9,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:47:56,22.0,0.3,49.6,,3.736,2,3.725,4,36,2,34,1,error,
2026-05-19 02:48:02,22.0,0.2,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:48:55,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:00,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:06,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:11,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:16,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:21,22.0,0.3,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:27,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:32,22.0,0.0,49.6,,3.672,2,3.662,4,36,2,34,1,error,
2026-05-19 02:49:38,22.0,0.0,49.6,,3.729,6,3.67,3,36,2,34,1,error,
2026-05-19 02:49:43,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:48,22.0,0.0,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:54,22.0,0.0,49.6,,3.673,2,3.663,4,36,2,34,1,error,
2026-05-19 02:49:59,22.0,0.3,49.6,,3.672,2,3.663,4,36,2,34,1,error,
2026-05-19 02:50:04,22.0,0.0,49.6,,3.673,2,3.663,4,36,2,34,1,error,
2026-05-19 02:50:10,22.0,0.0,49.6,,3.673,2,3.663,4,36,2,34,1,error,
2026-05-19 09:57:01,22.1,0.0,49.7,,3.7,2,3.688,4,35,2,34,1,error,
2026-05-19 09:57:06,22.1,0.0,49.7,,3.7,2,3.688,4,35,2,34,1,error,
2026-05-19 09:58:01,22.5,0.6,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:06,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:11,22.1,0.0,49.7,,3.755,3,3.688,4,36,2,34,1,error,
2026-05-19 09:58:17,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:22,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:27,22.1,0.2,49.7,,3.763,2,3.704,4,36,2,34,1,error,
2026-05-19 09:58:33,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:38,22.1,0.0,49.7,,3.7,2,3.688,1,36,2,34,1,error,
2026-05-19 09:58:43,22.1,0.5,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 09:58:49,22.5,0.3,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:54,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:58:59,22.1,0.3,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:59:05,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:59:10,22.1,0.0,49.7,,3.7,2,3.689,4,36,2,34,1,error,
2026-05-19 09:59:15,22.1,0.0,49.7,,3.761,2,3.754,4,36,2,34,1,error,
2026-05-19 09:59:21,22.1,0.0,49.7,,3.701,2,3.688,4,36,2,34,1,error,
2026-05-19 09:59:26,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:59:31,22.1,0.3,49.7,,3.703,2,3.691,4,36,2,34,1,error,
2026-05-19 09:59:37,22.1,0.0,49.7,,3.7,2,3.688,1,36,2,34,1,error,
2026-05-19 09:59:42,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 09:59:47,22.1,0.3,49.7,,3.7,2,3.689,4,36,2,34,1,error,
2026-05-19 09:59:53,22.1,0.0,49.7,,3.7,2,3.688,4,36,2,34,1,error,
2026-05-19 09:59:58,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:03,22.1,0.0,49.7,,3.761,3,3.691,4,36,2,34,1,error,
2026-05-19 10:00:09,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:14,22.1,0.0,49.7,,3.7,2,3.688,1,36,2,34,1,error,
2026-05-19 10:00:19,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:24,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:30,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:35,22.1,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:40,22.1,0.0,49.7,,3.701,2,3.689,4,36,2,34,1,error,
2026-05-19 10:00:46,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:00:51,22.1,0.0,49.7,,3.7,2,3.691,1,36,2,34,1,error,
2026-05-19 10:00:56,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:02,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:07,22.5,0.0,49.7,,3.701,2,3.688,4,36,2,34,1,error,
2026-05-19 10:01:12,22.1,0.0,49.7,,3.701,2,3.689,4,36,2,34,1,error,
2026-05-19 10:01:18,22.1,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:23,22.2,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:28,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:33,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:39,22.1,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:44,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:01:49,22.1,0.0,49.7,,3.764,2,3.692,4,36,2,34,1,error,
2026-05-19 10:01:55,22.2,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:00,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:05,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:02:11,22.3,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:16,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:21,22.1,0.3,49.7,,3.701,2,3.692,4,36,2,34,1,error,
2026-05-19 10:02:27,22.1,0.3,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:32,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:37,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:02:43,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:02:48,22.1,0.0,49.7,,3.701,2,3.692,4,36,2,34,1,error,
2026-05-19 10:02:53,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:02:59,22.5,0.2,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:03:04,22.1,0.0,49.7,,3.701,2,3.691,4,36,2,34,1,error,
2026-05-19 10:03:09,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:15,22.1,0.2,49.7,,3.701,2,3.692,1,36,2,34,1,error,
2026-05-19 10:03:20,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:25,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:31,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:36,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:42,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:47,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:52,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:03:57,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:03,22.5,0.2,49.7,,3.703,2,3.691,4,36,2,34,1,error,
2026-05-19 10:04:08,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:14,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:19,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:24,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:30,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:35,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:40,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:46,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:51,22.1,0.2,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:04:56,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:02,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:07,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:13,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:18,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:23,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:29,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:34,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:39,22.1,0.3,49.7,,3.754,5,3.695,1,36,2,34,1,error,
2026-05-19 10:05:44,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:05:50,22.1,0.0,49.7,,3.703,2,3.694,4,36,2,34,1,error,
2026-05-19 10:05:55,22.1,0.3,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:00,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:06,22.1,0.3,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:06:11,22.1,0.3,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:16,22.1,0.0,49.7,,3.703,2,3.694,4,36,2,34,1,error,
2026-05-19 10:06:22,22.1,0.0,49.7,,3.704,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:27,22.1,0.3,49.7,,3.704,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:32,22.1,0.0,49.7,,3.704,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:38,22.1,0.5,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:06:43,22.1,0.5,49.7,,3.704,2,3.692,4,36,2,34,1,error,
2026-05-19 10:06:48,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:06:54,22.1,0.0,49.7,,3.703,2,3.692,1,36,2,34,1,error,
2026-05-19 10:06:59,22.1,0.2,49.7,,3.704,2,3.692,4,36,2,34,1,error,
2026-05-19 10:07:04,22.1,0.0,49.7,,3.703,2,3.692,4,36,2,34,1,error,
2026-05-19 10:07:10,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:15,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:20,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:26,22.1,0.2,49.7,,3.704,2,3.692,1,36,2,34,1,error,
2026-05-19 10:07:31,22.1,0.3,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:37,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:42,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:47,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:52,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:07:58,22.1,0.2,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:03,22.1,0.2,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:08,22.1,0.0,49.7,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:14,22.1,0.6,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:19,22.1,0.5,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:24,22.1,0.0,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:30,22.1,0.3,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:35,22.4,0.3,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:40,22.1,0.0,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:46,22.1,0.3,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:51,22.2,0.2,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:08:56,22.1,0.0,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:02,22.1,0.0,49.8,,3.706,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:07,22.1,0.0,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:12,22.1,0.0,49.8,,3.706,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:18,22.1,0.2,49.8,,3.706,2,3.695,4,36,2,34,1,error,
2026-05-19 10:09:23,22.1,0.0,49.8,,3.704,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:28,22.1,0.0,49.8,,3.706,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:33,22.1,0.0,49.8,,3.711,4,3.701,1,36,2,34,1,error,
2026-05-19 10:09:39,22.1,0.0,49.8,,3.706,2,3.694,4,36,2,34,1,error,
2026-05-19 10:09:44,22.1,0.0,49.8,,3.706,2,3.695,4,36,2,34,1,error,
